place_id,name,latitude,longitude,categories,address_line1,address_line2,city,state,postcode,country,formatted_address,website,phone,distance_meters
5173309b00c39e5ac059104d88d063c33f40f00103f901edb0b01f02000000920325506f6469756d2046696e6973682053706f727420426f75746971756520616e642043616665,Podium Finish Sport Boutique and Cafe,31.7632418,-106.480652,"commercial, commercial.outdoor_and_sport, commercial.outdoor_and_sport.bicycle",Podium Finish Sport Boutique and Cafe,"921 Texas Avenue, El Paso, TX 79901, United States of America",El Paso,Texas,79901,United States,"Podium Finish Sport Boutique and Cafe, 921 Texas Avenue, El Paso, TX 79901, United States of America",https://podiumfinishsportcafe.com/,,438.0
5136ae167e609f5ac05950c7c85f6bc33f40f00102f9018bff230c000000009203085370656564776179,Speedway,31.763357149999997,-106.49026443686384,"building, building.commercial, commercial, commercial.convenience",Speedway,"715 North Stanton Street, El Paso, TX 79902, United States of America",El Paso,Texas,79902,United States,"Speedway, 715 North Stanton Street, El Paso, TX 79902, United States of America",https://www.speedway.com/locations/TX/El-Paso/715-N-Stanton-St,,516.0
51cde26a091e9f5ac059a1088adb68c43f40f00103f90188d1bbd9000000009203185175616c69747920436f696e20616e64204a6577656c7279,Quality Coin and Jewelry,31.767225,-106.4862083,"commercial, commercial.jewelry",Quality Coin and Jewelry,"700 Montana Avenue, El Paso, TX 79902, United States of America",El Paso,Texas,79902,United States,"Quality Coin and Jewelry, 700 Montana Avenue, El Paso, TX 79902, United States of America",,,601.0
51db92663d469f5ac059f2c6fa1de5c13f40f00103f901cc8eb5bc0200000092030d4865726f204174686c65746963,Hero Athletic,31.7574023,-106.4886621,"commercial, commercial.clothing, commercial.clothing.clothes",Hero Athletic,"South El Paso Street, El Paso, TX 79901, United States of America",El Paso,Texas,79901,United States,"Hero Athletic, South El Paso Street, El Paso, TX 79901, United States of America",,,608.0
51aadbc13f709f5ac059c1cade698dc33f40f00102f9015fd0253b00000000920310416e67656c757320436c65616e657273,Angelus Cleaners,31.76387655,-106.49122613841487,"building, building.commercial, commercial, service, service.cleaning, service.cleaning.dry_cleaning",Angelus Cleaners,"816 North Mesa Street, El Paso, TX 79902, United States of America",El Paso,Texas,79902,United States,"Angelus Cleaners, 816 North Mesa Street, El Paso, TX 79902, United States of America",,,615.0
51585826b2459f5ac059eab3a33edac13f40f00103f901cb8eb5bc0200000092031244617665e2809973205061776e2053686f70,Dave’s Pawn Shop,31.7572364,-106.4886289,commercial,Dave’s Pawn Shop,"216 South El Paso Street, El Paso, TX 79901, United States of America",El Paso,Texas,79901,United States,"Dave’s Pawn Shop, 216 South El Paso Street, El Paso, TX 79901, United States of America",,,621.0
51caefd2c7709f5ac059e2b6f31494c33f40f00102f9015ed0253b00000000920328546f6f746820616e64205665696c204f6464697469657320616e64204d6163616272652053686f70,Tooth and Veil Oddities and Macabre Shop,31.763978299999998,-106.49125857924733,"building, building.commercial, commercial, commercial.gift_and_souvenir",Tooth and Veil Oddities and Macabre Shop,"820 North Mesa Street, El Paso, TX 79902, United States of America",El Paso,Texas,79902,United States,"Tooth and Veil Oddities and Macabre Shop, 820 North Mesa Street, El Paso, TX 79902, United States of America",,,624.0
510cd58338459f5ac0590cf19ebfd0c13f40f00103f901ca8eb5bc0200000092031947656e657661204c6f616e2026204a6577656c727920436f2e,Geneva Loan & Jewelry Co.,31.7570915,-106.4885999,commercial,Geneva Loan & Jewelry Co.,"222 South El Paso Street, El Paso, TX 79901, United States of America",El Paso,Texas,79901,United States,"Geneva Loan & Jewelry Co., 222 South El Paso Street, El Paso, TX 79901, United States of America",,,633.0
515ca3e5400f9f5ac059eed309c96ec13f40f00103f901baa854210100000092031843656e74726f206465206c61205465636e6f6c6f67c3ad61,Centro de la Tecnología,31.7555967,-106.485306,"commercial, commercial.elektronics",Centro de la Tecnología,"East Paisano Drive, El Paso, TX 79901, United States of America",El Paso,Texas,79901,United States,"Centro de la Tecnología, East Paisano Drive, El Paso, TX 79901, United States of America",,,700.0
51a7edba125c9f5ac05984d9ccddaec13f40f00103f9017ea348860100000092031147726579686f756e64205469636b657473,Greyhound Tickets,31.7565745,-106.4899947,"commercial, commercial.tickets_and_lottery",Greyhound Tickets,"200 West San Antonio Avenue, El Paso, TX 79901, United States of America",El Paso,Texas,79901,United States,"Greyhound Tickets, 200 West San Antonio Avenue, El Paso, TX 79901, United States of America",,,757.0
